method_id,method_label,k_shot,metric_value,metric_value_percent,score_source,source_path,color
bert,BERT,5,0.3797890809420737,37.97890809420737,test,models/bert_conll_kshot_fixed_final600_report/k5_seed42/training_summary.json;models/bert_conll_kshot_fixed_final600_report/k5_seed142/training_summary.json;models/bert_conll_kshot_fixed_final600_report/k5_seed242/training_summary.json,#8F8F8F
bert,BERT,10,0.5113428367456161,51.13428367456161,test,models/bert_conll_kshot_fixed_final600_report/k10_seed42/training_summary.json;models/bert_conll_kshot_fixed_final600_report/k10_seed142/training_summary.json;models/bert_conll_kshot_fixed_final600_report/k10_seed242/training_summary.json,#8F8F8F
bert,BERT,20,0.6334522790008829,63.34522790008828,test,models/bert_conll_kshot_fixed_final600_report/k20_seed42/training_summary.json;models/bert_conll_kshot_fixed_final600_report/k20_seed142/training_summary.json;models/bert_conll_kshot_fixed_final600_report/k20_seed242/training_summary.json,#8F8F8F
bert,BERT,50,0.7413585595677404,74.13585595677404,test,models/bert_conll_kshot_fixed_final600_report/k50_seed42/training_summary.json;models/bert_conll_kshot_fixed_final600_report/k50_seed142/training_summary.json;models/bert_conll_kshot_fixed_final600_report/k50_seed242/training_summary.json,#8F8F8F
pat_perm_bart,OADA BART single teacher,5,0.4701969392613281,47.01969392613281,test,reports/single_bart_tagging/k5_seed42_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k5_seed142_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k5_seed242_pat_perm_bart_pattern_01_test_metrics.json,#F58518
pat_perm_bart,OADA BART single teacher,10,0.5385034012514703,53.850340125147035,test,reports/single_bart_tagging/k10_seed42_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k10_seed142_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k10_seed242_pat_perm_bart_pattern_01_test_metrics.json,#F58518
pat_perm_bart,OADA BART single teacher,20,0.617649667106773,61.76496671067731,test,reports/single_bart_tagging/k20_seed42_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k20_seed142_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k20_seed242_pat_perm_bart_pattern_01_test_metrics.json,#F58518
pat_perm_bart,OADA BART single teacher,50,0.7244178823835847,72.44178823835847,test,reports/single_bart_tagging/k50_seed42_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k50_seed142_pat_perm_bart_pattern_01_test_metrics.json;reports/single_bart_tagging/k50_seed242_pat_perm_bart_pattern_01_test_metrics.json,#F58518
pat_perm_bart_to_bert,OADA BART single teacher confidence → BERT,5,0.5226894828357868,52.26894828357867,test,models/bert_conll_distilled_fixed_final600_report/k5_seed42/pat_perm_bart_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k5_seed142/pat_perm_bart_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k5_seed242/pat_perm_bart_to_bert/hard_argmax/training_summary.json,#54A24B
pat_perm_bart_to_bert,OADA BART single teacher confidence → BERT,10,0.6039338096956239,60.39338096956239,test,models/bert_conll_distilled_fixed_final600_report/k10_seed42/pat_perm_bart_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k10_seed142/pat_perm_bart_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k10_seed242/pat_perm_bart_to_bert/hard_argmax/training_summary.json,#54A24B
pat_perm_bart_to_bert,OADA BART single teacher confidence → BERT,20,0.6708460199241822,67.08460199241823,test,models/bert_conll_distilled_fixed_final600_report/k20_seed42/pat_perm_bart_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k20_seed142/pat_perm_bart_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k20_seed242/pat_perm_bart_to_bert/hard_argmax/training_summary.json,#54A24B
pat_perm_bart_to_bert,OADA BART single teacher confidence → BERT,50,0.7137748275143609,71.37748275143609,test,models/bert_conll_distilled_fixed_final600_report/k50_seed42/pat_perm_bart_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k50_seed142/pat_perm_bart_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k50_seed242/pat_perm_bart_to_bert/hard_argmax/training_summary.json,#54A24B
pat_perm_bart_ensemble_to_bert,OADA BART ensemble agreement → BERT,5,0.5642836756688133,56.428367566881334,test,models/bert_conll_distilled_fixed_final600_report/k5_seed42/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k5_seed142/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k5_seed242/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json,#7B61FF
pat_perm_bart_ensemble_to_bert,OADA BART ensemble agreement → BERT,10,0.6772058016962029,67.72058016962029,test,models/bert_conll_distilled_fixed_final600_report/k10_seed42/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k10_seed142/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k10_seed242/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json,#7B61FF
pat_perm_bart_ensemble_to_bert,OADA BART ensemble agreement → BERT,20,0.7296617993534086,72.96617993534086,test,models/bert_conll_distilled_fixed_final600_report/k20_seed42/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k20_seed142/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k20_seed242/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json,#7B61FF
pat_perm_bart_ensemble_to_bert,OADA BART ensemble agreement → BERT,50,0.7694106908622139,76.94106908622139,test,models/bert_conll_distilled_fixed_final600_report/k50_seed42/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k50_seed142/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json;models/bert_conll_distilled_fixed_final600_report/k50_seed242/pat_perm_bart_ensemble_to_bert/hard_argmax/training_summary.json,#7B61FF
